Block Type,96well,,
Chemistry,TAQMAN,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.3\experiments\qPCR_brk_2024-11-08.eds,,
Experiment Run End Time,2024-11-08 12:46:44 PM EST,,
Instrument Type,steponeplus,,
Passive Reference,ROX,,
,,,
Well,Cycle,FAM,ROX
G8,4,11114.96387,32613.19141
G9,4,11158.45801,32987.42969
G10,4,7782.44043,19335.19727
G11,4,7490.797852,19256.49609
G12,4,8934.386719,20579.24609
H1,4,5650.689941,15642.85938
H2,4,7872.73877,20658.53906
H3,4,9782.894531,23341.6582
H4,4,10270.25977,31120.75
H5,4,11441.54688,35047.62109
H6,4,9578.470703,22822.12109
H7,4,7874.302734,20205.1582
H8,4,10268.80859,30751.47461
H9,4,10465.6377,31990.23438
H10,4,7954.279785,19615.7168
H11,4,5459.070313,14745.88574
H12,4,7719.307617,18562.60547
A1,5,7847.882813,20041.69922
A2,5,15821.48145,35631.59766
A3,5,9992.354492,29070.99805
A4,5,10755.75391,31751.20117
A5,5,8627.242188,21145.08203
A6,5,9496.131836,22017.67383
A7,5,8712.938477,27202.81641
A8,5,11054.83984,32398.375
A9,5,9544.938477,28837.44336
A10,5,8144.283691,20069.375
A11,5,7979.367676,18661.86523
A12,5,7705.306152,18475.36328
B1,5,8095.394043,20406.89258
B2,5,8880.750977,22733.08203
B3,5,11061.93652,31920.52148
B4,5,10696.88574,31632.32813
B5,5,8569.223633,20445.74414
B6,5,10132.07617,23058.29688
B7,5,9318.717773,28713.01758
B8,5,10527.55957,31394.86914
B9,5,10511.44141,30584.98633
B10,5,8891.74707,21735.17578
B11,5,8183.242188,19912.19922
B12,5,9506.62207,21557.91797
C1,5,9145.416992,21694.90234
C2,5,8519.978516,21651.96094
C3,5,11357.89844,32789.78906
C4,5,12156.28613,35560.04688
C5,5,9727.508789,23021.875
C6,5,12792.89258,28694.83008
C7,5,8974.474609,22313.42773
C8,5,11527.3916,33879.09375
C9,5,10850.87402,30929.76563
C10,5,9157.830078,21949.84961
C11,5,8093.360352,19994.53906
C12,5,10251.7373,23011.63672
D1,5,9274.172852,21779.91406
D2,5,8667.668945,21830.67383
D3,5,10487.0498,30870.6582
D4,5,10438.41602,31377.18164
D5,5,9495.869141,22537.92578
D6,5,9500.047852,22483.375
D7,5,6965.044434,17916.01758
D8,5,11399.9541,33452.60938
D9,5,11399.58008,33040.43359
D10,5,8878.319336,21493.83203
D11,5,7439.836914,18802.30273
D12,5,10365.19629,23308.7793
E1,5,8886.197266,21423.80078
E2,5,8304.794922,20900.04688
E3,5,10169.96289,30153.03125
E4,5,13401.71875,38203.58984
E5,5,10322.25586,24733.76563
E6,5,9523.600586,21943.28516
E7,5,6017.149414,16170.49707
E8,5,11797.17285,33615.41406
E9,5,10633.28027,31292.80469
E10,5,8417.327148,20583.57422
E11,5,8198.314453,20258.45117
E12,5,10303.99219,23220.51563
F1,5,9482.572266,22207.01563
F2,5,8123.217773,20925.79688
F3,5,10497.50195,30662.81055
F4,5,8716.27832,26860.88867
F5,5,9173.857422,22591.54492
F6,5,9979.671875,23004.45508
F7,5,8689.280273,21871.79297
F8,5,12934.76465,36410.35156
F9,5,11817.33203,34840.03906
F10,5,9329.700195,22647.63281
F11,5,8557.048828,21094.46289
F12,5,8594.359375,20083.31445
G1,5,7268.911133,18703.50977
G2,5,8252.120117,21064.58008
G3,5,10697.94629,24370.75391
G4,5,11462.60645,33475.48047
G5,5,11481.41602,34562.62109
G6,5,9699.211914,22323.32813
G7,5,8375.941406,20926.21484
G8,5,11091.3877,32362.67578
G9,5,11112.10938,32732.4375
G10,5,7785.118652,19327.13086
G11,5,7494.901855,19254.40234
G12,5,8874.152344,20460.57617
H1,5,5666.403809,15629.9707
H2,5,7851.20166,20581.65234
H3,5,9762.771484,23244.14844
H4,5,10255.41602,30939.02539
H5,5,11460.83984,34858.69141
H6,5,9615.71582,22815.21289
H7,5,7878.738281,20172.72656
H8,5,10307.47559,30665.90039
H9,5,10456.1709,31830.21094
H10,5,7930.678711,19545.86328
H11,5,5490.20459,14828.22656
H12,5,7760.680664,18626.86133
A1,6,7929.404785,20061.99805
A2,6,15842.04785,35617.67188
A3,6,9950.974609,28844.19336
A4,6,10765.36035,31638.57422
A5,6,8617.269531,21075.17578
A6,6,9477.516602,21932.61328
A7,6,8704.395508,27103.14063
A8,6,11073.65527,32284.73633
A9,6,9476.404297,28466.80469
A10,6,8142.716309,20030.68164
A11,6,7943.228027,18584.24219
A12,6,7762.627441,18565.96094
B1,6,8133.956055,20439.77148
B2,6,8895.291016,22714.62109
B3,6,11062.41016,31695.88672
B4,6,10760.61719,31689.19531
B5,6,8636.673828,20546.6582
B6,6,10125.69043,22979.50195
B7,6,9313.451172,28532.11523
B8,6,10521.01563,31229.01953
B9,6,10496.06445,30453.65039
B10,6,8845.302734,21613.72852
B11,6,8162.053223,19830.61719
B12,6,9474.291016,21509.25586
C1,6,9087.170898,21534.99414
C2,6,8505.854492,21571.06641
C3,6,11386.8584,32697.72461
C4,6,12156.33887,35356.70703
C5,6,9746.111328,23022.37695
C6,6,12836.48926,28724.70117
C7,6,9063.402344,22495.06055
C8,6,11526.75391,33713.38672
C9,6,10786.11719,30589.20313
C10,6,9154.764648,21896.1582
C11,6,8089.658691,19948.85742
C12,6,10214.73047,22963.1875
D1,6,9238.241211,21681.4082
D2,6,8632.868164,21744.66016
D3,6,10557.50195,30871.69531
D4,6,10351.69922,31020.53906
D5,6,9487.96582,22485.50977
D6,6,9491.574219,22540.9707
D7,6,7038.717773,18065.57227
D8,6,11420.01855,33331.55078
D9,6,11426.6084,32910.0625
D10,6,8868.920898,21456.80859
D11,6,7424.960449,18764.74805
D12,6,10362.94824,23318.65039
E1,6,8860.667969,21374.24609
E2,6,8291.386719,20871.69336
E3,6,10254.7207,30194.64453
E4,6,13403.5625,38113.13281
E5,6,10263.02246,24685.37109
E6,6,9551.174805,21963.11133
E7,6,6058.481934,16215.01855
E8,6,11812.75781,33512.10156
E9,6,10652.8584,31212.44922
E10,6,8446.134766,20586.61719
E11,6,8190.850098,20246.5332
E12,6,10311.69727,23202.23438
F1,6,9491.897461,22164.80469
F2,6,8263.826172,21210.58008
