"STATION","NAME","DATE","PRCP"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-10-12","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-10-13","0.02"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-10-14","1.34"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-10-15","0.14"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-10-16","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-10-17","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-10-18","0.47"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-10-19","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-10-20","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-10-21","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-10-22","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-10-23","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-10-24","0.28"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-10-25","0.23"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-10-26","0.32"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-10-27","0.05"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-10-28","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-10-29","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-10-30","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-10-31","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-11-01","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-11-02","0.03"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-11-03","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-11-04","0.00"
