Block Type,96well,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.3\experiments\qPCR_brk_2024-11-08.eds,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-11-08 12:46:44 PM EST,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C?,C? Mean,C? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,OUTLIERRG,EXPFAIL
G7,6,BRK2,UNKNOWN,FAM,NFQ-MGB,Undetermined,33.11741638,0.603521943,,,,TRUE,0.137240904,TRUE,3,39,,N,N,Y,N,Y
G8,6,BRK2,UNKNOWN,FAM,NFQ-MGB,32.55536652,33.11741638,0.603521943,0.001032573,0.001623087,0.000738243,TRUE,0.137240904,TRUE,3,28,,N,Y,N,N,N
G9,17,BRK2,UNKNOWN,FAM,NFQ-MGB,31.99979973,31.99682999,0.0041985,0.000712338,0.000710927,1.99461E-06,TRUE,0.137240904,TRUE,3,27,,N,N,N,N,N
G10,11,BRK2,UNKNOWN,FAM,NFQ-MGB,33.21007156,33.09161377,0.395561367,0.001599289,0.001510938,0.000374422,TRUE,0.137240904,TRUE,3,29,,N,N,N,N,N
G11,26,BRK2,UNKNOWN,FAM,NFQ-MGB,31.14270401,31.58182335,0.392818153,0.000401737,0.000550733,0.00013541,TRUE,0.137240904,TRUE,3,27,,N,N,N,N,N
G12,,BRK2,NTC,FAM,NFQ-MGB,28.32738304,28.23913193,0.124807268,,,,TRUE,0.137240904,TRUE,3,24,,Y,N,N,N,N
H1,21,BRK2,UNKNOWN,FAM,NFQ-MGB,36.83541489,34.69616318,1.939407945,0.018032776,0.007523972,0.009138633,TRUE,0.137240904,TRUE,3,32,,N,Y,N,N,N
H2,29,BRK2,UNKNOWN,FAM,NFQ-MGB,34.48605728,34.62071228,0.243912995,0.003751799,0.004142629,0.000703583,TRUE,0.137240904,TRUE,3,30,,N,N,N,N,N
H3,2,BRK2,UNKNOWN,FAM,NFQ-MGB,33.65304947,33.8039093,0.927442312,0.002150239,0.002708126,0.001702841,TRUE,0.137240904,TRUE,3,29,,N,Y,N,N,N
H4,23,BRK2,UNKNOWN,FAM,NFQ-MGB,32.99916077,33.5791626,1.010578156,0.001389048,0.002411817,0.001777029,TRUE,0.137240904,TRUE,3,28,,N,Y,N,N,N
H5,4,BRK2,UNKNOWN,FAM,NFQ-MGB,32.83655548,33.85136795,0.899280846,0.001246024,0.002731245,0.001359439,TRUE,0.137240904,TRUE,3,28,,N,Y,N,N,N
H6,20,BRK2,UNKNOWN,FAM,NFQ-MGB,33.27160645,33.74304581,0.828528225,0.001666424,0.002548386,0.001540859,TRUE,0.137240904,TRUE,3,29,,N,Y,N,N,N
H7,6,BRK2,UNKNOWN,FAM,NFQ-MGB,34.23836136,33.11741638,0.603521943,0.003179465,0.001623087,0.000738243,TRUE,0.137240904,TRUE,3,30,,N,Y,N,N,N
H8,7,BRK2,UNKNOWN,FAM,NFQ-MGB,33.10435867,32.9610672,0.202642053,0.00149021,0.001360349,0.000183651,TRUE,0.137240904,TRUE,3,28,,N,N,N,N,N
H9,18,BRK2,UNKNOWN,FAM,NFQ-MGB,33.36805725,32.81790161,0.778037548,0.001777367,0.001314692,0.000654321,TRUE,0.137240904,TRUE,3,29,,N,Y,N,N,N
H10,11,BRK2,UNKNOWN,FAM,NFQ-MGB,33.41440964,33.09161377,0.395561367,0.001833283,0.001510938,0.000374422,TRUE,0.137240904,TRUE,3,29,,N,N,N,N,N
H11,18,BRK2,UNKNOWN,FAM,NFQ-MGB,32.26774597,32.81790161,0.778037548,0.000852017,0.001314692,0.000654321,TRUE,0.137240904,TRUE,3,28,,N,Y,N,N,N
H12,,BRK2,NTC,FAM,NFQ-MGB,28.15087891,28.23913193,0.124807268,,,,TRUE,0.137240904,TRUE,3,24,,Y,N,N,N,N
