Block Type,96well,,,
Chemistry,TAQMAN,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.3\experiments\qPCR_brk_2024-11-08.eds,,,
Experiment Run End Time,2024-11-08 12:46:44 PM EST,,,
Instrument Type,steponeplus,,,
Passive Reference,ROX,,,
,,,,
Well,Cycle,Target Name,Rn,?Rn
A9,14,BRK2,0.343236059,0.000533284
A9,15,BRK2,0.344035923,6.22118E-05
A9,16,BRK2,0.345726252,0.000481603
A9,17,BRK2,0.347046793,0.000531206
A9,18,BRK2,0.347926319,0.000139795
A9,19,BRK2,0.348860711,-0.00019675
A9,20,BRK2,0.350361109,3.27111E-05
A9,21,BRK2,0.35094294,-0.000656395
A9,22,BRK2,0.352149189,-0.000721083
A9,23,BRK2,0.352871269,-0.00126994
A9,24,BRK2,0.353981882,-0.001430264
A9,25,BRK2,0.355646461,-0.001036622
A9,26,BRK2,0.357417494,-0.000536527
A9,27,BRK2,0.359433502,0.000208544
A9,28,BRK2,0.362952769,0.002456874
A9,29,BRK2,0.36972779,0.007960958
A9,30,BRK2,0.382014513,0.018976744
A9,31,BRK2,0.404319555,0.040010847
A9,32,BRK2,0.445502758,0.079923116
A9,33,BRK2,0.520888209,0.154037625
A9,34,BRK2,0.651846707,0.283725202
A9,35,BRK2,0.854760528,0.485368073
A9,36,BRK2,1.131758332,0.761094928
A9,37,BRK2,1.456504107,1.084569812
A9,38,BRK2,1.795544386,1.422339082
A9,39,BRK2,2.108283043,1.733806849
A9,40,BRK2,2.382440567,2.006693363
A10,1,BRK2,0.400321394,-0.002581914
A10,2,BRK2,0.40255934,-0.000874317
A10,3,BRK2,0.404738843,0.000774838
A10,4,BRK2,0.405116886,0.000622532
A10,5,BRK2,0.405806541,0.000781839
A10,6,BRK2,0.406512201,0.00095715
A10,7,BRK2,0.405981332,-0.000104067
A10,8,BRK2,0.406456649,-0.000159098
A10,9,BRK2,0.407883078,0.000736982
A10,10,BRK2,0.408542335,0.000865891
A10,11,BRK2,0.408811808,0.000605015
A10,12,BRK2,0.409382194,0.000645053
A10,13,BRK2,0.409358472,9.0982E-05
A10,14,BRK2,0.409318775,-0.000479063
A10,15,BRK2,0.409778506,-0.000549681
A10,16,BRK2,0.410450011,-0.000408523
A10,17,BRK2,0.410423368,-0.000965515
A10,18,BRK2,0.410216987,-0.001702245
A10,19,BRK2,0.410418749,-0.002030831
A10,20,BRK2,0.410996467,-0.001983462
A10,21,BRK2,0.411815703,-0.001694574
A10,22,BRK2,0.411949933,-0.002090693
A10,23,BRK2,0.413069308,-0.001501666
A10,24,BRK2,0.413268417,-0.001832905
A10,25,BRK2,0.414492518,-0.001139153
A10,26,BRK2,0.416730553,0.000568534
A10,27,BRK2,0.419218719,0.002526351
A10,28,BRK2,0.424689025,0.007466309
A10,29,BRK2,0.433493227,0.015740162
A10,30,BRK2,0.451908916,0.033625502
